arm,group,condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_excluded_non_terminating,n_looped_on_correct_answer,low_power,near_ceiling,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_power_target,bh_significant_global
thinking_arm_accuracy,gemma4-e4b,clustering,excluded,thinking_arm_accuracy/gemma4-e4b/excluded,180,180,0,0,0,False,True,-0.06666666666666667,0.03333333333333333,0.005555555555555556,-0.016666666666666666,0.03333333333333333,1.0,False,,,,False
thinking_arm_accuracy,gemma4-e4b,components,excluded,thinking_arm_accuracy/gemma4-e4b/excluded,180,180,0,0,0,False,True,0.0,0.03333333333333333,0.005555555555555556,-0.022222222222222223,0.03333333333333333,1.0,False,,,,False
thinking_arm_accuracy,gemma4-e4b,degree,excluded,thinking_arm_accuracy/gemma4-e4b/excluded,180,180,0,0,0,False,True,0.0,0.06666666666666667,0.016666666666666666,-0.005555555555555556,0.044444444444444446,0.36946305369463056,False,,,,False
thinking_arm_accuracy,gemma4-e4b,filler,excluded,thinking_arm_accuracy/gemma4-e4b/excluded,180,180,0,0,0,False,True,-0.06666666666666667,0.03333333333333333,-0.005555555555555556,-0.027777777777777776,0.016666666666666666,1.0,False,,,,False
thinking_arm_accuracy,gemma4-e4b,rwse,excluded,thinking_arm_accuracy/gemma4-e4b/excluded,180,180,0,0,0,False,True,-0.03333333333333333,0.0,-0.005555555555555556,-0.03333333333333333,0.022222222222222223,1.0,False,,,,False
thinking_arm_accuracy,qwen3-14b,all,excluded,thinking_arm_accuracy/qwen3-14b/excluded,176,176,4,4,2,False,True,0.0,0.03333333333333333,0.005681818181818182,0.0,0.017045454545454544,1.0,False,,,,False
thinking_arm_accuracy,qwen3-14b,clustering,excluded,thinking_arm_accuracy/qwen3-14b/excluded,177,177,3,5,1,False,True,0.0,0.03333333333333333,0.005649717514124294,0.0,0.01694915254237288,1.0,False,,,,False
thinking_arm_accuracy,qwen3-14b,components,excluded,thinking_arm_accuracy/qwen3-14b/excluded,177,177,3,4,1,False,True,0.0,0.03333333333333333,0.005649717514124294,0.0,0.01694915254237288,1.0,False,,,,False
thinking_arm_accuracy,qwen3-14b,degree,excluded,thinking_arm_accuracy/qwen3-14b/excluded,177,177,3,4,1,False,True,0.0,0.03333333333333333,0.005649717514124294,0.0,0.01694915254237288,1.0,False,,,,False
thinking_arm_accuracy,qwen3-14b,filler,excluded,thinking_arm_accuracy/qwen3-14b/excluded,177,177,3,4,0,False,True,0.0,0.03333333333333333,0.005649717514124294,0.0,0.01694915254237288,1.0,False,,,,False
thinking_arm_accuracy,qwen3-14b,rwse,excluded,thinking_arm_accuracy/qwen3-14b/excluded,175,175,5,5,3,False,True,-0.037037037037037035,0.0,-0.005714285714285714,-0.017142857142857144,0.0,1.0,False,,,,False
thinking_arm_accuracy,qwen3-8b,all,excluded,thinking_arm_accuracy/qwen3-8b/excluded,166,166,14,16,8,False,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
thinking_arm_accuracy,qwen3-8b,clustering,excluded,thinking_arm_accuracy/qwen3-8b/excluded,170,170,10,14,4,False,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
thinking_arm_accuracy,qwen3-8b,components,excluded,thinking_arm_accuracy/qwen3-8b/excluded,168,168,12,15,7,False,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
thinking_arm_accuracy,qwen3-8b,degree,excluded,thinking_arm_accuracy/qwen3-8b/excluded,169,169,11,12,3,False,True,-0.03571428571428571,0.0,-0.005917159763313609,-0.01775147928994083,0.0,1.0,False,,,,False
thinking_arm_accuracy,qwen3-8b,filler,excluded,thinking_arm_accuracy/qwen3-8b/excluded,171,171,9,9,3,False,True,0.0,0.0,0.0,0.0,0.0,1.0,False,,,,False
thinking_arm_accuracy,qwen3-8b,rwse,excluded,thinking_arm_accuracy/qwen3-8b/excluded,172,172,8,10,3,False,True,-0.038461538461538464,0.0,-0.005813953488372093,-0.01744186046511628,0.0,1.0,False,,,,False
