arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_excluded_non_terminating,n_looped_on_correct_answer,low_power,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task,mae_delta
main_sweep,gemma4-12b,exact,filler,,False,worst_case,main_sweep/gemma4-12b/worst_case,180,180,0.0,0,,,,,-0.1,0.0,-0.016666666666666666,-0.03888888888888889,0.0,0.2542745725427457,False,,,,,,,,
main_sweep,gemma4-12b,exact,rwse,,False,worst_case,main_sweep/gemma4-12b/worst_case,180,180,0.0,0,,,,,-0.06666666666666667,0.0,-0.011111111111111112,-0.027777777777777776,0.0,0.5046495350464953,False,,,,,,,,
main_sweep,gemma4-12b,exact,all,,True,worst_case,main_sweep/gemma4-12b/worst_case/derived,180,180,0.0,0,,,,,0.0,0.03333333333333333,0.005555555555555556,-0.011111111111111112,0.027777777777777776,1.0,False,,,,,,,,
main_sweep,gemma4-e4b,exact,clustering,,False,excluded,main_sweep/gemma4-e4b/excluded,171,171,9.0,10,2.0,False,True,0.011428571428571455,-0.041666666666666664,0.037037037037037035,-0.005847953216374269,-0.029239766081871343,0.017543859649122806,1.0,False,,0.011345029239766082,-0.046875,-0.045380116959064326,0.8,False,,
main_sweep,gemma4-e4b,exact,components,,False,excluded,main_sweep/gemma4-e4b/excluded,173,173,7.0,10,0.0,False,True,0.011428571428571455,-0.13333333333333333,0.034482758620689655,-0.028901734104046242,-0.06358381502890173,0.0,0.18148185181481852,False,,0.012023121387283236,-0.045700867052023114,-0.04369942196531792,0.8,False,,
main_sweep,gemma4-e4b,exact,degree,,False,excluded,main_sweep/gemma4-e4b/excluded,173,173,7.0,7,0.0,False,True,0.011428571428571455,-0.041666666666666664,0.034482758620689655,-0.005780346820809248,-0.03468208092485549,0.017341040462427744,1.0,False,,0.011213872832369942,-0.048771676300578035,-0.048323699421965315,0.8,False,,
main_sweep,gemma4-e4b,exact,filler,,False,excluded,main_sweep/gemma4-e4b/excluded,173,173,7.0,9,0.0,False,True,0.011428571428571455,0.0,0.03333333333333333,0.005780346820809248,-0.011560693641618497,0.028901734104046242,1.0,False,,0.011907514450867051,-0.046875,-0.048092485549132945,0.8,False,,
main_sweep,gemma4-e4b,exact,rwse,,False,excluded,main_sweep/gemma4-e4b/excluded,170,170,10.0,14,0.0,False,True,0.011428571428571455,-0.045454545454545456,0.0,-0.01764705882352941,-0.041176470588235294,0.0,0.24737526247375263,False,,0.010941176470588235,-0.0484375,-0.04823529411764706,0.8,False,,
main_sweep,gemma4-e4b,exact,all,,True,excluded,main_sweep/gemma4-e4b/excluded/derived,173,173,7.0,9,0.0,False,True,0.011428571428571455,-0.08695652173913043,0.03333333333333333,-0.005780346820809248,-0.028901734104046242,0.017341040462427744,1.0,False,,0.012138728323699421,-0.046875,-0.049364161849710986,0.8,,,
main_sweep,gemma4-e4b,exact,clustering,,False,best_case,main_sweep/gemma4-e4b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.03333333333333333,-0.005555555555555556,-0.03333333333333333,0.016666666666666666,1.0,False,,,,,,,,
main_sweep,gemma4-e4b,exact,components,,False,best_case,main_sweep/gemma4-e4b/best_case,180,180,0.0,0,,,,,-0.13333333333333333,0.03333333333333333,-0.03333333333333333,-0.06666666666666667,0.0,0.11358864113588642,False,,,,,,,,
main_sweep,gemma4-e4b,exact,degree,,False,best_case,main_sweep/gemma4-e4b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.03333333333333333,-0.005555555555555556,-0.027777777777777776,0.016666666666666666,1.0,False,,,,,,,,
main_sweep,gemma4-e4b,exact,filler,,False,best_case,main_sweep/gemma4-e4b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.03333333333333333,0.0,-0.022222222222222223,0.022222222222222223,1.0,False,,,,,,,,
main_sweep,gemma4-e4b,exact,rwse,,False,best_case,main_sweep/gemma4-e4b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.0,-0.016666666666666666,-0.03888888888888889,0.0,0.25237476252374763,False,,,,,,,,
main_sweep,gemma4-e4b,exact,all,,True,best_case,main_sweep/gemma4-e4b/best_case/derived,180,180,0.0,0,,,,,-0.06666666666666667,0.03333333333333333,-0.005555555555555556,-0.027777777777777776,0.016666666666666666,1.0,False,,,,,,,,
main_sweep,gemma4-e4b,exact,clustering,,False,worst_case,main_sweep/gemma4-e4b/worst_case,180,180,0.0,0,,,,,-0.06666666666666667,0.06666666666666667,-0.005555555555555556,-0.044444444444444446,0.03333333333333333,1.0,False,,,,,,,,
main_sweep,gemma4-e4b,exact,components,,False,worst_case,main_sweep/gemma4-e4b/worst_case,180,180,0.0,0,,,,,-0.13333333333333333,0.0,-0.03333333333333333,-0.07222222222222222,0.005555555555555556,0.14528547145285473,False,,,,,,,,
main_sweep,gemma4-e4b,exact,degree,,False,worst_case,main_sweep/gemma4-e4b/worst_case,180,180,0.0,0,,,,,-0.03333333333333333,0.1,0.011111111111111112,-0.027777777777777776,0.05,0.783021697830217,False,,,,,,,,
main_sweep,gemma4-e4b,exact,filler,,False,worst_case,main_sweep/gemma4-e4b/worst_case,180,180,0.0,0,,,,,0.0,0.03333333333333333,0.005555555555555556,-0.022222222222222223,0.03333333333333333,1.0,False,,,,,,,,
main_sweep,gemma4-e4b,exact,rwse,,False,worst_case,main_sweep/gemma4-e4b/worst_case,180,180,0.0,0,,,,,-0.1,0.0,-0.03888888888888889,-0.07222222222222222,-0.011111111111111112,0.039396060393960604,False,,,,,,,,
main_sweep,gemma4-e4b,exact,all,,True,worst_case,main_sweep/gemma4-e4b/worst_case/derived,180,180,0.0,0,,,,,-0.03333333333333333,0.03333333333333333,0.0,-0.03333333333333333,0.03333333333333333,1.0,False,,,,,,,,
main_sweep,qwen3-14b,exact,clustering,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,0,0.0,False,False,0.11111111111111116,0.0,0.06666666666666667,0.022222222222222223,0.005555555555555556,0.044444444444444446,0.12738726127387262,False,0.36250000000000004,0.04033333333333333,-0.053125000000000006,-0.04733333333333333,0.8,False,,
main_sweep,qwen3-14b,exact,components,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,0,0.0,False,False,0.11111111111111116,-0.03333333333333333,0.1,0.016666666666666666,-0.011111111111111112,0.044444444444444446,0.45725427457254275,False,0.40277777777777785,0.045,-0.05034722222222223,-0.04688888888888889,0.8,False,,
main_sweep,qwen3-14b,exact,degree,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,0,0.0,False,False,0.11111111111111116,0.0,0.2,0.044444444444444446,0.011111111111111112,0.07777777777777778,0.020497950204979503,False,0.4,0.043,-0.04166666666666667,-0.039,0.8,False,,
main_sweep,qwen3-14b,exact,filler,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,0,0.0,False,False,0.11111111111111116,-0.03333333333333333,0.03333333333333333,0.0,-0.022222222222222223,0.022222222222222223,1.0,False,0.3875,0.042888888888888886,-0.053125000000000006,-0.04588888888888889,0.8,False,,
main_sweep,qwen3-14b,exact,rwse,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,0,0.0,False,False,0.11111111111111116,0.0,0.03333333333333333,0.011111111111111112,0.0,0.027777777777777776,0.4991500849915009,False,0.3875,0.04566666666666667,-0.0484375,-0.04455555555555556,0.8,False,,
main_sweep,qwen3-14b,exact,all,,True,excluded,main_sweep/qwen3-14b/excluded/derived,180,180,0.0,0,0.0,False,False,0.11111111111111116,-0.03333333333333333,0.1,0.011111111111111112,-0.016666666666666666,0.03888888888888889,0.6914308569143086,False,0.40277777777777773,0.043222222222222224,-0.04687499999999999,-0.03955555555555555,0.8,,,
main_sweep,qwen3-14b,exact,clustering,,False,best_case,main_sweep/qwen3-14b/best_case,180,180,0.0,0,,,,,0.0,0.06666666666666667,0.022222222222222223,0.005555555555555556,0.044444444444444446,0.127987201279872,False,,,,,,,,
main_sweep,qwen3-14b,exact,components,,False,best_case,main_sweep/qwen3-14b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.1,0.016666666666666666,-0.011111111111111112,0.044444444444444446,0.44895510448955106,False,,,,,,,,
main_sweep,qwen3-14b,exact,degree,,False,best_case,main_sweep/qwen3-14b/best_case,180,180,0.0,0,,,,,0.0,0.2,0.044444444444444446,0.011111111111111112,0.07777777777777778,0.0206979302069793,False,,,,,,,,
main_sweep,qwen3-14b,exact,filler,,False,best_case,main_sweep/qwen3-14b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.03333333333333333,0.0,-0.022222222222222223,0.022222222222222223,1.0,False,,,,,,,,
main_sweep,qwen3-14b,exact,rwse,,False,best_case,main_sweep/qwen3-14b/best_case,180,180,0.0,0,,,,,0.0,0.03333333333333333,0.011111111111111112,0.0,0.027777777777777776,0.5033496650334967,False,,,,,,,,
main_sweep,qwen3-14b,exact,all,,True,best_case,main_sweep/qwen3-14b/best_case/derived,180,180,0.0,0,,,,,-0.03333333333333333,0.1,0.011111111111111112,-0.016666666666666666,0.03888888888888889,0.6928307169283072,False,,,,,,,,
main_sweep,qwen3-14b,exact,clustering,,False,worst_case,main_sweep/qwen3-14b/worst_case,180,180,0.0,0,,,,,0.0,0.06666666666666667,0.022222222222222223,0.005555555555555556,0.044444444444444446,0.1282871712828717,False,,,,,,,,
main_sweep,qwen3-14b,exact,components,,False,worst_case,main_sweep/qwen3-14b/worst_case,180,180,0.0,0,,,,,-0.03333333333333333,0.1,0.016666666666666666,-0.011111111111111112,0.044444444444444446,0.44725527447255276,False,,,,,,,,
main_sweep,qwen3-14b,exact,degree,,False,worst_case,main_sweep/qwen3-14b/worst_case,180,180,0.0,0,,,,,0.0,0.2,0.044444444444444446,0.011111111111111112,0.08333333333333333,0.021897810218978103,False,,,,,,,,
main_sweep,qwen3-14b,exact,filler,,False,worst_case,main_sweep/qwen3-14b/worst_case,180,180,0.0,0,,,,,-0.03333333333333333,0.03333333333333333,0.0,-0.022222222222222223,0.022222222222222223,1.0,False,,,,,,,,
main_sweep,qwen3-14b,exact,rwse,,False,worst_case,main_sweep/qwen3-14b/worst_case,180,180,0.0,0,,,,,0.0,0.03333333333333333,0.011111111111111112,0.0,0.027777777777777776,0.4981501849815019,False,,,,,,,,
main_sweep,qwen3-14b,exact,all,,True,worst_case,main_sweep/qwen3-14b/worst_case/derived,180,180,0.0,0,,,,,-0.03333333333333333,0.1,0.011111111111111112,-0.016666666666666666,0.03888888888888889,0.6883311668833116,False,,,,,,,,
main_sweep,qwen3-8b,exact,clustering,,False,excluded,main_sweep/qwen3-8b/excluded,180,180,0.0,0,0.0,False,False,0.09999999999999998,0.0,0.13333333333333333,0.027777777777777776,0.0,0.05555555555555555,0.12958704129587043,False,0.40277777777777773,0.042444444444444444,-0.05034722222222222,-0.042888888888888886,0.8,False,,
main_sweep,qwen3-8b,exact,components,,False,excluded,main_sweep/qwen3-8b/excluded,180,180,0.0,0,0.0,False,False,0.09999999999999998,-0.03333333333333333,0.03333333333333333,0.0,-0.03333333333333333,0.03333333333333333,1.0,False,0.48333333333333334,0.04811111111111111,-0.04583333333333334,-0.043555555555555556,0.8,False,,
main_sweep,qwen3-8b,exact,degree,,False,excluded,main_sweep/qwen3-8b/excluded,180,180,0.0,0,0.0,False,False,0.09999999999999998,-0.03333333333333333,0.23333333333333334,0.027777777777777776,-0.005555555555555556,0.06666666666666667,0.22757724227577242,False,0.4333333333333333,0.04566666666666667,-0.04965277777777777,-0.046,0.8,False,,
main_sweep,qwen3-8b,exact,filler,,False,excluded,main_sweep/qwen3-8b/excluded,180,180,0.0,0,0.0,False,False,0.09999999999999998,-0.23333333333333334,0.03333333333333333,-0.05,-0.09444444444444444,-0.005555555555555556,0.0494950504949505,False,0.4666666666666667,0.04822222222222222,-0.05,-0.04633333333333333,0.8,False,,
main_sweep,qwen3-8b,exact,rwse,,False,excluded,main_sweep/qwen3-8b/excluded,179,179,1.0,1,0.0,False,False,0.09999999999999998,-0.10344827586206896,0.0,-0.0335195530726257,-0.0670391061452514,0.0,0.11148885111488852,False,0.4860335195530726,0.04279329608938547,-0.04818435754189944,-0.042905027932960894,0.8,False,,
main_sweep,qwen3-8b,exact,all,,True,excluded,main_sweep/qwen3-8b/excluded/derived,179,179,1.0,1,0.0,False,False,0.09999999999999998,-0.1,0.1724137931034483,0.0111731843575419,-0.0223463687150838,0.0446927374301676,0.752024797520248,False,0.4860335195530726,0.04446927374301676,-0.04189944134078212,-0.040446927374301674,0.8,,,
main_sweep,qwen3-8b,exact,clustering,,False,best_case,main_sweep/qwen3-8b/best_case,180,180,0.0,0,,,,,0.0,0.13333333333333333,0.027777777777777776,0.0,0.05555555555555555,0.12348765123487651,False,,,,,,,,
main_sweep,qwen3-8b,exact,components,,False,best_case,main_sweep/qwen3-8b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.03333333333333333,0.0,-0.03333333333333333,0.03333333333333333,1.0,False,,,,,,,,
main_sweep,qwen3-8b,exact,degree,,False,best_case,main_sweep/qwen3-8b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.23333333333333334,0.027777777777777776,-0.005555555555555556,0.06666666666666667,0.2196780321967803,False,,,,,,,,
main_sweep,qwen3-8b,exact,filler,,False,best_case,main_sweep/qwen3-8b/best_case,180,180,0.0,0,,,,,-0.23333333333333334,0.03333333333333333,-0.05,-0.09444444444444444,-0.005555555555555556,0.0484951504849515,False,,,,,,,,
main_sweep,qwen3-8b,exact,rwse,,False,best_case,main_sweep/qwen3-8b/best_case,180,180,0.0,0,,,,,-0.06666666666666667,0.0,-0.027777777777777776,-0.06666666666666667,0.005555555555555556,0.22767723227677233,False,,,,,,,,
main_sweep,qwen3-8b,exact,all,,True,best_case,main_sweep/qwen3-8b/best_case/derived,180,180,0.0,0,,,,,-0.1,0.2,0.016666666666666666,-0.016666666666666666,0.05555555555555555,0.5587441255874412,False,,,,,,,,
main_sweep,qwen3-8b,exact,clustering,,False,worst_case,main_sweep/qwen3-8b/worst_case,180,180,0.0,0,,,,,0.0,0.13333333333333333,0.027777777777777776,0.0,0.05555555555555555,0.1304869513048695,False,,,,,,,,
main_sweep,qwen3-8b,exact,components,,False,worst_case,main_sweep/qwen3-8b/worst_case,180,180,0.0,0,,,,,-0.03333333333333333,0.03333333333333333,0.0,-0.03333333333333333,0.03333333333333333,1.0,False,,,,,,,,
main_sweep,qwen3-8b,exact,degree,,False,worst_case,main_sweep/qwen3-8b/worst_case,180,180,0.0,0,,,,,-0.03333333333333333,0.23333333333333334,0.027777777777777776,-0.005555555555555556,0.06666666666666667,0.22547745225477453,False,,,,,,,,
main_sweep,qwen3-8b,exact,filler,,False,worst_case,main_sweep/qwen3-8b/worst_case,180,180,0.0,0,,,,,-0.23333333333333334,0.03333333333333333,-0.05,-0.09444444444444444,-0.005555555555555556,0.050594940505949405,False,,,,,,,,
main_sweep,qwen3-8b,exact,rwse,,False,worst_case,main_sweep/qwen3-8b/worst_case,180,180,0.0,0,,,,,-0.1,0.0,-0.03333333333333333,-0.06666666666666667,0.0,0.10478952104789521,False,,,,,,,,
main_sweep,qwen3-8b,exact,all,,True,worst_case,main_sweep/qwen3-8b/worst_case/derived,180,180,0.0,0,,,,,-0.1,0.16666666666666666,0.011111111111111112,-0.022222222222222223,0.044444444444444446,0.7550244975502449,False,,,,,,,,
main_sweep,pooled across all models,exact,clustering,,False,excluded,main_sweep/pooled across all models/excluded,710,710,10.0,11,2.0,False,False,0.058741258741258795,-0.008333333333333333,0.035398230088495575,0.009859154929577466,-0.0014084507042253522,0.02112676056338028,0.1506849315068493,False,0.17500000000000002,0.010422535211267606,-0.0125,-0.012225352112676056,0.8,,,
