arm,group,task,condition,bound,bh_family,n_pairs,n_clusters,n_excluded_non_terminating,mae_delta,ci_low,ci_high,p_value,bh_significant,bh_significant_global
main_sweep,qwen3-8b,node_count,filler,excluded,mae/qwen3-8b/node_count,30,30,0,-0.23333333333333334,-0.4,-0.1,0.0187981201879812,False,False
main_sweep,qwen3-8b,node_count,rwse,excluded,mae/qwen3-8b/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,edge_count,all,excluded,mae/qwen3-8b/edge_count,29,29,1,0.3103448275862069,-0.5517241379310345,1.206896551724138,0.5634436556344365,False,False
main_sweep,qwen3-8b,edge_count,clustering,excluded,mae/qwen3-8b/edge_count,30,30,0,0.5,-0.06666666666666667,1.2666666666666666,0.19558044195580443,False,False
main_sweep,qwen3-8b,edge_count,components,excluded,mae/qwen3-8b/edge_count,30,30,0,0.26666666666666666,-0.36666666666666664,1.0666666666666667,0.6241375862413758,False,False
main_sweep,qwen3-8b,edge_count,degree,excluded,mae/qwen3-8b/edge_count,30,30,0,-0.26666666666666666,-3.933333333333333,2.1333333333333333,0.9934006599340066,False,False
main_sweep,qwen3-8b,edge_count,filler,excluded,mae/qwen3-8b/edge_count,30,30,0,-2.7333333333333334,-7.733333333333333,0.5333333333333333,0.34106589341065896,False,False
main_sweep,qwen3-8b,edge_count,rwse,excluded,mae/qwen3-8b/edge_count,29,29,1,-12.758620689655173,-19.862068965517242,-6.275862068965517,0.000999900009999,True,False
main_sweep,qwen3-8b,node_degree,all,excluded,mae/qwen3-8b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,node_degree,clustering,excluded,mae/qwen3-8b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,node_degree,components,excluded,mae/qwen3-8b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,node_degree,degree,excluded,mae/qwen3-8b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,node_degree,filler,excluded,mae/qwen3-8b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-8b,node_degree,rwse,excluded,mae/qwen3-8b/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
